"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date","foundyear"
"5139","qunb","Data and Analytics, Software, Financial Services","Paris, Ile-de-France, France","Was Acquired","","2011-05-10",10,"Finance, Big Data, FinTech, Software","1-10",2,4,"2013-02-25",0,"Seed",0,1140000,1140000,2,0,"","","","","",-1
"5140","Qikwell Technologies","Hardware, Information Technology, Health Care, Mobile","Bangalore, Karnataka, India","Was Acquired","","2011-09-15",NA,"Health Care, Telecommunications, Information Technology, mHealth","11-50",2,2,"2014-11-24",3e+06,"Series A",3e+06,3e+06,3e+06,1,1,"","","","","",-1
"5188","RideScout","Apps, Software, Transportation","Washington, District of Columbia, United States","Was Acquired","","2011-11-22",86,"Public Transportation, Apps","51-100",0,2,"2014-03-18",3500000,"Convertible Note",3500000,3500000,3500000,6,0,"","","","","",-1
"5191","Raven Tech","Science and Engineering, Data and Analytics, Software, Mobile","Beijing, Beijing, China","Was Acquired","","2014-05-01",3,"Big Data, Mobile, Artificial Intelligence","11-50",3,4,"2015-11-01",0,"Series Unknown",0,18120000,18120000,6,0,"","","","","",2
"5192","Rocketmiles","Travel and Tourism, Commerce and Shopping","Chicago, Illinois, United States","Was Acquired","","2012-11-01",25,"Travel, E-Commerce","11-50",1,2,"2014-01-29",6500000,"Series A",6500000,8500000,8500000,9,3,"","","","","",0
"5197","RockThePost","Financial Services, Lending and Investments","New York, New York, United States","Was Acquired","","2010-10-23",24,"Venture Capital, Financial Services, Crowdfunding, Finance","1-10",2,1,"2012-02-01",1400000,"Seed",1400000,1400000,1400000,NA,NA,"","","","","",-2
"5225","RiverGlass","Data and Analytics, Software, Professional Services","Champaign, Illinois, United States","Was Acquired","","2003-01-01",NA,"Analytics, Predictive Analytics, Software, Legal","11-50",0,3,"2008-01-21",2400000,"Series Unknown",2400000,6400000,6550000,5,1,"","","","","",-9
"5257","Run Hop","Data and Analytics, Content and Publishing","San Francisco, California, United States","Was Acquired","","2014-01-01",NA,"Business Intelligence, Content Delivery Network","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"5262","Red Planet","Internet Services","Dublin, Dublin, Ireland","Was Acquired","","2015-01-01",NA,"Internet","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"5267","Revolution Health","Health Care, Internet Services","Washington, District of Columbia, United States","Was Acquired","","2005-07-01",104,"Health Care, Medical, Online Portals","501-1000",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-7
"5272","Renzu","","","Was Acquired","","2014-01-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"5316","RotorBlog","Media and Entertainment, Internet Services, Content and Publishing","","Was Acquired","","2006-01-01",6,"News, Social Media, Social News","51-100",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-6
"5336","Redux Communications","Hardware, Data and Analytics, Software","Modi'in, HaMerkaz, Israel","Was Acquired","","1999-11-01",NA,"Communication Hardware, Business Intelligence, Developer Platform","",0,1,"2000-07-25",5e+06,"Series A",5e+06,5e+06,5e+06,3,2,"","","","","",-13
"5420","Redmatica","","Correggio, Emilia-Romagna, Italy","Was Acquired","","2003-01-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-9
"5433","Ruaha Labs","","","Was Acquired","","2013-12-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"5441","Shake","Professional Services, Mobile","New York, New York, United States","Was Acquired","","2012-01-01",12,"Legal, Mobile, Small and Medium Businesses","",1,2,"2013-11-20",3e+06,"Series A",3e+06,4e+06,4e+06,13,2,"","","","","",0
"5444","Sun Catalytix","Natural Resources, Energy, Sustainability","Cambridge, Massachusetts, United States","Was Acquired","","2008-01-01",41,"Renewable Energy, Solar, Water","",1,4,"2013-07-10",4e+06,"Series Unknown",4e+06,14500000,18500000,4,2,"","","","","",-4
"5475","Skippbox","Information Technology","London, England, United Kingdom","Was Acquired","","2015-01-01",NA,"Information Technology","",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"5476","SeederBoard","Data and Analytics, Financial Services","London, England, United Kingdom","Was Acquired","","2012-07-10",3,"Finance, Business Intelligence","",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"5478","Surround.io","Software","","Was Acquired","","2014-07-01",NA,"Software","",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"5479","Snocap","Media and Entertainment, Music and Audio, Content and Publishing","San Francisco, California, United States","Was Acquired","","2002-01-01",105,"Music, Content Delivery Network, Content","",2,4,"2006-03-01",1.5e+07,"Series C",1.5e+07,27400000,27400000,6,3,"","","","","",-10
"5502","Seattle 2.0","Media and Entertainment, Events, Content and Publishing, Financial Services, Lending and Investments","","Was Acquired","","2007-01-01",21,"Venture Capital, Events, News","",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-5
"5540","Scholastic Connections, LLC","Software, Education","Peoria, Illinois, United States","Was Acquired","","2014-05-01",NA,"Education, Consumer Software","",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"5628","Synchronous Design Automation","Science and Engineering, Hardware, Software","Palo Alto, California, United States","Was Acquired","","",NA,"Semiconductor, EDA, Developer Platform","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",NA
"5633","Sipura Technology","Information Technology","San Jose, California, United States","Was Acquired","","2003-01-01",NA,"Information Technology","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-9
"5813","Senseonics","Science and Engineering, Hardware, Health Care","Germantown, Maryland, United States","IPO","","1996-01-01",21,"Medical Device, Health Care, Sensor, Chemical, Medical","11-50",1,9,"2016-07-13",3e+07,"Post-IPO Debt",9999998,95299989,135299989,8,0,"NYSEMKT","SENS","","","2016-04-27",-16
"5817","SportsEngine","Sports, Internet Services","Minneapolis, Minnesota, United States","Was Acquired","","2008-01-01",NA,"Internet, Sports","251-500",2,5,"2014-07-17",4e+06,"Series D",4e+06,39129500,39129500,6,5,"","","","","",-4
"5827","Shutl","Commerce and Shopping, Transportation","London, England, United Kingdom","Was Acquired","","2008-01-01",107,"Logistics, SaaS, Retail, E-Commerce","11-50",1,7,"2012-10-12",4e+06,"Series Unknown",4e+06,8680353,8680353,14,1,"","","","","",-4
"5828","Sosh","Apps, Media and Entertainment, Software, Internet Services, Mobile","San Francisco, California, United States","Was Acquired","","2010-01-01",45,"Social Media, Apps, Mobile","11-50",3,4,"2013-08-13",10100000,"Series B",10100000,16254000,16254000,17,3,"","","","","",-2
"5829","Soundwave","Platforms, Apps, Media and Entertainment, Navigation and Mapping, Music and Audio, Data and Analytics, Software, Internet Services, Mobile","Dublin, Dublin, Ireland","Was Acquired","","2012-01-01",79,"Analytics, iOS, Apps, Location Based Services, Local, Social Media, Real Time, Android, Music","1-10",3,4,"2014-07-01",1e+06,"Series Unknown",1e+06,2900000,2900000,13,0,"","","","","",0
"5835","Sifteo","Gaming, Science and Engineering, Hardware, Software","San Francisco, California, United States","Was Acquired","","2009-01-01",88,"Gaming, Hardware, Robotics, Software","11-50",2,3,"2010-09-01",5e+05,"Grant",1.2e+07,1.3e+07,13500000,5,4,"","","","","",-3
"5848","Singly","Data and Analytics, Software","San Francisco, California, United States","Was Acquired","","2010-12-21",16,"Database, Analytics, Big Data","11-50",3,3,"2013-05-08",0,"Seed",0,8950000,8950000,13,1,"","","","","",-2
"5849","Startup Stock Exchange","Financial Services","Willemstad, Noord-Brabant, The Netherlands","Was Acquired","","2011-12-01",19,"Finance, Small and Medium Businesses, FinTech","1-10",2,4,"2013-08-31",5e+05,"Angel",5e+05,1200000,1200000,NA,NA,"","","","","",-1
"5853","Sequenta","Biotechnology, Science and Engineering, Health Care","San Francisco, California, United States","Was Acquired","","2008-01-01",22,"Health Diagnostics, Biotechnology, Medical","51-100",2,5,"2014-10-20",0,"Series Unknown",0,43460000,43460000,9,5,"","","","","",-4
"5860","StartupDigest","Media and Entertainment, Events, Professional Services, Content and Publishing","Seattle, Washington, United States","Was Acquired","","2009-11-16",31,"Events, Employment, News","251-500",2,1,"2011-03-09",2e+05,"Series Unknown",2e+05,2e+05,2e+05,2,1,"","","","","",-3
"5885","SCOUPY","Navigation and Mapping, Data and Analytics, Internet Services, Mobile","Amstelveen, Noord-Holland, The Netherlands","Was Acquired","","2011-08-01",1,"Mobile, Location Based Services, Local","11-50",1,2,"2014-09-16",0,"Seed",0,2590393,2590393,1,0,"","","","","",-1
"5890","StopTheHacker","Information Technology, Privacy and Security","Burlingame, California, United States","Was Acquired","","2008-01-01",22,"Information Technology, Security, Cyber Security","11-50",2,1,"2012-02-13",1100000,"Series A",1100000,1100000,1100000,3,0,"","","","","",-4
"5891","SocialEngine","Software, Sales and Marketing, Internet Services, Financial Services","Los Angeles, California, United States","Was Acquired","","2007-06-01",19,"Software, Finance, FinTech, Social Media Management","11-50",2,1,"2011-08-01",12000,"Seed",12000,12000,12000,1,0,"","","","","",-5
"5903","SynapticMash","Commerce and Shopping, Data and Analytics, Software, Design","Seattle, Washington, United States","Was Acquired","","2007-01-01",9,"Marketplace, Market Research, Enterprise Software","11-50",1,4,"2010-06-28",891000,"Debt Financing",2e+05,6450000,7341000,2,0,"","","","","",-5
"5911","Synference","Data and Analytics, Software","Dublin, Dublin, Ireland","Was Acquired","","2013-01-01",5,"Analytics, Software","1-10",0,1,"2013-01-01",70000,"Seed",70000,70000,70000,1,0,"","","","","",1
"5954","Santaro Interactive Entertainment (STIE)","Gaming, Media and Entertainment","Beijing, Beijing, China","IPO","","2006-01-01",NA,"Gaming, Online Games, Digital Entertainment","11-50",0,2,"2011-12-16",2e+06,"Series Unknown",2e+06,2020000,2020000,NA,NA,"OTCMKTS","STIE","","","2010-09-20",-6
"5978","SocialCom","Commerce and Shopping, Media and Entertainment, Information Technology, Software, Sales and Marketing, Internet Services","Munich, Bayern, Germany","Was Acquired","","2008-12-22",3,"Social Media, CRM, E-Commerce","1-10",0,1,"2008-01-01",0,"Seed",0,298836,298836,1,0,"","","","","",-4
"5986","Shopsity","Apps, Software","Gurgaon, Haryana, India","Was Acquired","","2015-03-01",8,"Apps","11-50",2,1,"2015-07-09",0,"Seed",0,0,0,2,0,"","","","","",3
"5994","Storylane","Media and Entertainment, Sales and Marketing, Video","Palo Alto, California, United States","Was Acquired","","2012-01-01",11,"Content Marketing, Film, Media and Entertainment","1-10",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"5997","Sparse Labs","Software, Transportation","Gurgaon, Haryana, India","Was Acquired","","2014-01-01",7,"Logistics, Enterprise Software, Software, Supply Chain Management","1-10",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"6064","Silicon Allee","Media and Entertainment, Information Technology, Content and Publishing","Berlin, Berlin, Germany","Was Acquired","","2011-01-01",11,"Information Technology, News, Digital Media","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"6066","Sky Motion","Science and Engineering, Sustainability, Professional Services","Montr̩al, Quebec, Canada","Was Acquired","","2008-09-04",4,"Consulting, Environmental Consulting, Environmental Engineering","1-10",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-4
"6074","SIEVE","Commerce and Shopping","Rio De Janeiro, Rio de Janeiro, Brazil","Was Acquired","","2010-04-01",NA,"B2B, E-Commerce","51-100",1,1,"2014-07-28",0,"Series A",0,0,0,1,0,"","","","","",-2
"6081","Sanera Systems","Hardware, Software, Internet Services","Santa Clara, California, United States","Was Acquired","","2000-08-01",NA,"Hardware, Web Hosting, Enterprise Software","51-100",0,4,"2003-07-03",3.5e+07,"Series C",3.5e+07,100800000,100800000,9,7,"","","","","",-12
"6100","Slingshot Labs","Media and Entertainment, Content and Publishing, Financial Services, Lending and Investments","Santa Monica, California, United States","Was Acquired","","2008-01-21",22,"Incubators, News","51-100",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-4
"6113","SingleFeed","Commerce and Shopping","San Francisco, California, United States","Was Acquired","","2006-01-01",13,"Shopping, E-Commerce, Retail","1-10",1,1,"2007-04-05",0,"Series A",0,0,0,2,0,"","","","","",-6
"6114","SocialGrow","Apps, Software","Concord, Massachusetts, United States","Was Acquired","","2009-07-20",2,"Web Development, Developer Tools, Apps","1-10",3,NA,"",0,"",0,0,0,NA,NA,"","","","","",-3
"6127","Surgate Labs","Information Technology, Internet Services, Privacy and Security, Messaging and Telecommunications","Istanbul, Istanbul, Turkey","Was Acquired","","2008-07-01",2,"Email, Network Security, Cyber Security","11-50",4,NA,"",0,"",0,0,0,NA,NA,"","","","","",-4
"6398","Span Diagnostics","Health Care","Surat, Gujarat, India","Was Acquired","","1976-01-01",NA,"Health Care, Health Diagnostics","51-100",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-36
"6400","Synad Technologies","Hardware, Software, Mobile","Reading, Reading, United Kingdom","Was Acquired","","2000-01-01",NA,"Enterprise Software, Wireless, Communication Hardware","501-1000",0,1,"2002-07-22",20700000,"Series B",20700000,20700000,20700000,3,1,"","","","","",-12
"6439","Smart Devices (Pvt.) Ltd","Information Technology","Lahore, Punjab, Pakistan","Was Acquired","","",NA,"Information Technology","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",NA
"6682","TinyOwl Technology","Apps, Information Technology, Food and Beverage, Software, Mobile","Mumbai, Maharashtra, India","Was Acquired","","2014-01-01",5,"Food and Beverage, Mobile, Apps, Information Technology","251-500",1,4,"2015-10-30",7665775,"Series C",7665775,27665775,27665775,4,4,"","","","","",2
"6687","The Hunt","Commerce and Shopping","San Francisco, California, United States","Was Acquired","","2012-01-01",18,"E-Commerce, Consumer, Shopping","11-50",3,4,"2014-04-10",1e+07,"Series B",1e+07,16200000,16200000,12,4,"","","","","",0
"6694","Tasty Labs","Data and Analytics, Software","Mountain View, California, United States","Was Acquired","","2010-10-01",32,"Application Performance Management, Enterprise Software, Social","11-50",2,1,"2010-11-24",3e+06,"Series A",3e+06,3e+06,3e+06,6,0,"","","","","",-2
"6702","tok tok tok","Commerce and Shopping, Mobile","Paris, Ile-de-France, France","Was Acquired","2016-09-01","2013-01-01",2,"Mobile, Retail","11-50",1,1,"2014-01-22",2e+06,"Seed",2e+06,2e+06,2e+06,NA,NA,"","","","","",1
"6707","The Gifts Project","Apps, Commerce and Shopping, Community and Lifestyle, Software, Financial Services","Tel Aviv, Tel Aviv, Israel","Was Acquired","","2009-11-01",7,"Gift Card, Private Social Networking, Apps, E-Commerce","1-10",4,2,"2010-12-23",1e+06,"Seed",1e+06,1e+06,1e+06,4,0,"","","","","",-3
"6709","TrustGo","Apps, Software, Sales and Marketing, Privacy and Security","Santa Clara, California, United States","Was Acquired","","2011-06-08",17,"App Discovery, Security","11-50",1,2,"2012-07-31",0,"Seed",0,1500000,1500000,7,0,"","","","","",-1
"6760","TravelPost.com","Travel and Tourism","Seattle, Washington, United States","Was Acquired","","2004-02-01",14,"Travel, Hospitality","11-50",2,1,"2005-04-13",0,"Series A",0,0,0,1,0,"","","","","",-8
"6772","Tunezy","Media and Entertainment, Music and Audio","Toronto, Ontario, Canada","Was Acquired","","2011-01-01",7,"Music","11-50",2,1,"2012-04-10",0,"Series Unknown",0,0,0,1,0,"","","","","",-1
"6777","tacterion GmbH","Science and Engineering, Hardware, Information Technology, Software, Internet Services","Munich, Bayern, Germany","Was Acquired","","2015-01-01",1,"B2B, Sensor, Information Technology, Robotics, Internet of Things","1-10",3,2,"2016-10-02",0,"Series A",0,30290,30290,1,1,"","","","","",3
"6780","Tappy","Apps, Software","Los Angeles, California, United States","Was Acquired","","2014-01-01",14,"Apps","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"6804","Thrive Audio","","Dublin, Dublin, Ireland","Was Acquired","","",NA,"","501-1000",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",NA
"6812","Todaytickets","Media and Entertainment, Events, Sports, Mobile","Berlin, Berlin, Germany","Was Acquired","","2013-04-01",NA,"Nightlife, Mobile, Sports, Events, Ticketing, Concerts","11-50",3,1,"2013-04-01",0,"Seed",0,0,0,4,0,"","","","","",1
"6817","TapEngage","Sales and Marketing, Advertising","San Francisco, California, United States","Was Acquired","","",3,"Advertising","11-50",1,1,"2011-08-01",0,"Seed",0,0,0,4,0,"","","","","",NA
"6829","TT Design Labs","Hardware, Software","Chicago, Illinois, United States","Was Acquired","","2011-01-01",11,"Hardware, Software","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"6843","TunedIn","Hardware, Media and Entertainment, Consumer Electronics, Data and Analytics, Software, Internet Services","Berlin, Berlin, Germany","Was Acquired","2014-10-13","2010-10-01",5,"Machine Learning, Software, Consumer Electronics, Social Media, Content","11-50",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-2
"6846","Taxiwise","Mobile","Sha Tin, New Territories, Hong Kong","Was Acquired","","2012-11-01",7,"Mobile","1-10",3,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"6878","Techvibes Media","Media and Entertainment, Content and Publishing","Vancouver, British Columbia, Canada","Was Acquired","","2002-01-01",1,"News","11-50",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-10
"6885","The New Agency","Sales and Marketing, Advertising","Newport, New South Wales, Australia","Was Acquired","","2011-01-01",3,"Marketing, Advertising, Brand Marketing","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"7002","The First Meal","Food and Beverage, Transportation","Hyderabad, Andhra Pradesh, India","Was Acquired","","2015-01-01",NA,"Food and Beverage, Food Delivery","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"7010","Techcofounder","Information Technology, Software","San Francisco, California, United States","Was Acquired","","2010-02-01",1,"Information Technology, Information Services, Enterprise Software","11-50",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-2
"7110","Tsugi","","Austin, Texas, United States","Was Acquired","","2013-01-01",NA,"","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"7165","THE CLIP","","","Was Acquired","","2014-01-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"7214","Tinode","Apps, Information Technology, Software, Internet Services, Messaging and Telecommunications","","Was Acquired","","2014-01-01",NA,"Apps, Messaging","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"7239","Umeng","Apps, Data and Analytics, Software, Mobile","Beijing, Beijing, China","Was Acquired","","2010-04-01",24,"Mobile Apps, Mobile, Analytics","51-100",1,2,"2011-06-01",1e+07,"Series A",1e+07,1e+07,1e+07,2,1,"","","","","",-2
"7241","Undeveloped","Commerce and Shopping, Internet Services","Amsterdam, Noord-Holland, The Netherlands","Was Acquired","","2014-05-03",2,"Marketplace, Internet, Search Engine","11-50",3,2,"2015-05-29",4e+05,"Convertible Note",4e+05,417087,417087,1,0,"","","","","",2
"7244","UpNext","Hardware, Software, Mobile","New York, New York, United States","Was Acquired","","2007-05-01",54,"Enterprise Software, Mobile, 3D Technology","",4,1,"2011-03-14",556799,"Series A",556799,556799,556799,9,0,"","","","","",-5
"7245","Union Bay Networks","Hardware, Information Technology, Data and Analytics, Software, Internet Services, Design","Seattle, Washington, United States","Was Acquired","","2013-01-01",11,"Cloud Infrastructure, Software, Data Visualization","1-10",4,1,"2013-07-15",1850000,"Seed",1850000,1850000,1850000,6,0,"","","","","",1
"7265","Ubeeqo","Transportation, Mobile","Ixelles, Brussels Hoofdstedelijk Gewest, Belgium","Was Acquired","","2007-01-01",9,"Mobile, Railroad, Fleet Management","11-50",2,1,"2012-05-25",0,"Series A",0,0,0,1,0,"","","","","",-5
"7340","UltraBOHO","","","Was Acquired","","2015-03-19",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"7348","Vamo","Travel and Tourism, Commerce and Shopping, Media and Entertainment, Events","Seattle, Washington, United States","Was Acquired","2015-09-10","2012-10-01",10,"Events, E-Commerce, Travel","11-50",1,2,"2013-07-18",1600000,"Convertible Note",1600000,1600000,1600000,29,0,"","","","","",0
"7367","Virtuata","Hardware, Information Technology, Software, Privacy and Security","Milpitas, California, United States","Was Acquired","","2010-10-04",4,"Security, Virtualization","11-50",2,1,"2011-03-11",6e+06,"Series A",6e+06,6e+06,6e+06,NA,NA,"","","","","",-2
"7414","Vitamin D","Media and Entertainment, Data and Analytics, Video","","Was Acquired","","2007-03-01",1,"Service Industry, Video, Analytics","11-50",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-5
"7449","VoloMP","Software, Sales and Marketing","Los Angeles, California, United States","Was Acquired","","1999-01-01",2,"Software, Email Marketing","11-50",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-13
"7498","VINKO Advertising","Sales and Marketing, Advertising","Israel, Asia","Was Acquired","","2015-01-01",NA,"Marketing, Ad Network, Advertising, Mobile Advertising","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"7569","Watchup","Media and Entertainment, Video, Content and Publishing","Menlo Park, California, United States","Was Acquired","","2012-06-27",30,"Video, News, Journalism","1-10",2,3,"2014-11-06",2800000,"Series A",2800000,4300000,4300000,18,1,"","","","","",0
"7576","Whodini","Data and Analytics, Software","Los Altos, California, United States","Was Acquired","","2010-09-01",8,"Natural Language Processing, Enterprise Software","11-50",1,3,"2014-03-20",0,"Convertible Note",0,1800000,1800000,1,0,"","","","","",-2
"7616","Want Me Get Me","Travel and Tourism, Information Technology, Community and Lifestyle","New York, New York, United States","Was Acquired","","2011-01-01",5,"Travel, Leisure, Information Technology, Tourism","11-50",2,1,"2011-06-01",0,"Angel",0,0,0,1,0,"","","","","",-1
"7622","WallaBee","Media and Entertainment, Navigation and Mapping, Data and Analytics, Sales and Marketing, Internet Services, Advertising","","Was Acquired","","2011-09-01",3,"Advertising, Location Based Services, Social Media","1-10",3,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"7723","WebEvent","Internet Services","Hampstead, New Hampshire, United States","Was Acquired","","",NA,"Internet","",0,1,"2001-03-28",2e+06,"Series Unknown",2e+06,2e+06,2e+06,1,1,"","","","","",NA
"7765","XPerception","Science and Engineering, Hardware, Software","Mountain View, California, United States","Was Acquired","","2016-01-01",NA,"Virtual Reality, Robotics, Software, Hardware","",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",4
"7776","Xeler8","Financial Services, Lending and Investments","Austin, Texas, United States","Was Acquired","","2015-06-03",11,"SaaS, Venture Capital, Financial Services","11-50",3,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"7779","X01","","","Was Acquired","","",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",NA
"7792","Xolvr","Software, Education","Gurgaon, Haryana, India","Was Acquired","","2015-01-01",NA,"E-Learning","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"7805","Yobongo","Hardware, Information Technology, Consumer Electronics, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States","Was Acquired","","2010-01-01",61,"Messaging, Mobile Devices, Real Time","1-10",2,1,"2011-03-23",1350000,"Seed",1350000,1350000,1350000,10,0,"","","","","",-2
"7819","Youbibi","Travel and Tourism","Shenzhen, Guangdong, China","Was Acquired","","2010-01-01",NA,"Travel, Tourism, Hospitality","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-2
"7868","Yipeedo","","","Was Acquired","","2013-01-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"7877","ZLemma","Internet Services","Mountain View, California, United States","Was Acquired","","2013-01-01",NA,"Internet","11-50",2,1,"2013-08-15",3500000,"Series A",3500000,3500000,3500000,1,0,"","","","","",1
"7897","Zoomer, Inc.","Food and Beverage, Transportation","Philadelphia, Pennsylvania, United States","Was Acquired","","2014-01-01",NA,"Food and Beverage, Food Delivery","101-250",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"7901","Zimp Recompensas","Sales and Marketing","Ṣo Paulo, Sao Paulo, Brazil","Was Acquired","","2013-04-01",NA,"Loyalty Programs","1-10",4,2,"2016-02-15",0,"Seed",0,46942,46942,NA,NA,"","","","","",1
"7906","Zamurai","Sales and Marketing, Mobile","San Jose, California, United States","Was Acquired","","2013-01-01",NA,"SaaS, Marketing, Mobile","11-50",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"7907","Ztelic","Information Technology, Data and Analytics, Software","Beijing, Beijing, China","Was Acquired","","2012-01-01",9,"Data Mining, Enterprise Software, Natural Language Processing","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"7908","ZipZapPlay","Gaming, Hardware, Consumer Electronics","San Francisco, California, United States","Was Acquired","","2007-01-01",12,"Computer, Gaming, Social","11-50",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-5
"2","Area 1 Security","Information Technology, Privacy and Security","Redwood City, California, United States","Operating","","2013-01-01",15,"Network Security, Security, Cyber Security","11-50",3,3,"2015-10-14",1.5e+07,"Series B",1.5e+07,25500000,25500000,11,5,"","","","","",1
"3","Alpaca","Science and Engineering, Data and Analytics, Software, Financial Services, Lending and Investments","San Mateo, California, United States","Operating","","2015-02-18",22,"Machine Learning, Trading Platform, Artificial Intelligence, FinTech","11-50",3,5,"2017-01-24",1750000,"Series Unknown",1750000,2798938,2994661,15,0,"","","","","",3
"4","Adore Me","Consumer Goods, Design","New York, New York, United States","Operating","","2011-05-01",53,"Fashion, Lingerie, Women's","51-100",2,6,"2017-01-20",0,"Secondary Market",0,11500000,11500000,14,0,"","","","","",-1
"5","Aceable","Commerce and Shopping, Education, Mobile","Austin, Texas, United States","Operating","","2012-10-01",40,"Mobile, Education, E-Commerce","11-50",1,3,"2016-09-23",4e+06,"Series A",4e+06,8700000,8700000,8,3,"","","","","",0
"6","AdStage","Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Internet Services, Advertising","San Francisco, California, United States","Operating","","2012-05-01",48,"Machine Learning, Software, SEO, Social Media, Enterprise Software, Search Engine, Advertising, Advertising Platforms, Internet","11-50",2,6,"2016-09-19",2e+06,"Series A",2e+06,10750000,12250000,20,3,"","","","","",0
"9","AttackIQ","Information Technology, Privacy and Security","San Diego, California, United States","Operating","","2013-01-01",NA,"Network Security","11-50",1,4,"2016-11-30",8800000,"Series A",8800000,16588694,16588694,6,0,"","","","","",1
"12","Amagi Media Labs","Sales and Marketing, Advertising","Bangalore, Karnataka, India","Operating","","2008-01-01",9,"Advertising, Advertising Platforms","101-250",3,4,"2016-12-15",3.5e+07,"Series D",3.5e+07,45200000,45200000,5,3,"","","","","",-4
"13","ACTON","Hardware, Commerce and Shopping, Consumer Electronics, Sports, Transportation, Design","Mountain View, California, United States","Operating","","2013-01-01",8,"Fashion, Sporting Goods, Transportation, Consumer Electronics","11-50",2,3,"2015-05-15",2600000,"Series A",2600000,5100000,5100000,1,0,"","","","","",1
"15","ABODO","Real Estate, Sales and Marketing, Internet Services, Advertising","Madison, Wisconsin, United States","Operating","","2011-01-03",9,"Real Estate, Search Engine, Local Advertising","11-50",3,5,"2016-06-16",4800000,"Series A",4800000,7318000,7318000,11,3,"","","","","",-1
"18","Ario","Travel and Tourism, Hardware, Consumer Electronics, Real Estate, Internet Services","San Francisco, California, United States","Operating","","2015-08-01",1,"Smart Building, Electronics, Lighting, Hotel, Internet of Things","1-10",3,3,"2016-10-22",1500000,"Seed",1500000,1702000,1702000,4,0,"","","","","",3
